experiment,run_id,step,status,confidence,in_workflow
smoke_repair,run_001,data_quality,completed,medium,True
smoke_repair,run_001,safety_overview,completed,medium,True
smoke_repair,run_001,basal_targets,completed,high,True
smoke_repair,run_001,profile_cr_isf_dia,completed,medium,True
smoke_repair,run_001,automation_smb_uam,partial,high,True
smoke_repair,run_001,automation_sensitivity_limits,completed,medium,True
smoke_repair,run_001,meal_bolus_strategy,completed,high,True
smoke_repair,run_001,meal_ecarbs_absorption,completed,medium,True
smoke_repair,run_001,synthesis_plan,partial,low,True
smoke_repair,run_002,data_quality,completed,low,True
smoke_repair,run_002,safety_overview,completed,low,True
smoke_repair,run_002,basal_targets,completed,medium,True
smoke_repair,run_002,profile_cr_isf_dia,completed,low,True
smoke_repair,run_002,automation_smb_uam,partial,high,True
smoke_repair,run_002,automation_sensitivity_limits,completed,medium,True
smoke_repair,run_002,meal_bolus_strategy,partial,high,True
smoke_repair,run_002,meal_ecarbs_absorption,partial,high,True
smoke_repair,run_002,synthesis_plan,partial,medium,True
smoke_repair,run_003,data_quality,completed,medium,True
smoke_repair,run_003,safety_overview,partial,high,True
smoke_repair,run_003,basal_targets,partial,high,True
smoke_repair,run_003,profile_cr_isf_dia,partial,medium,True
smoke_repair,run_003,automation_smb_uam,partial,low,True
smoke_repair,run_003,automation_sensitivity_limits,partial,low,True
smoke_repair,run_003,meal_bolus_strategy,completed,low,True
smoke_repair,run_003,meal_ecarbs_absorption,partial,low,True
smoke_repair,run_003,synthesis_plan,partial,high,True
smoke_repair,run_004,data_quality,completed,medium,True
smoke_repair,run_004,safety_overview,partial,high,True
smoke_repair,run_004,basal_targets,partial,low,True
smoke_repair,run_004,profile_cr_isf_dia,partial,high,True
smoke_repair,run_004,automation_smb_uam,partial,high,True
smoke_repair,run_004,automation_sensitivity_limits,completed,low,True
smoke_repair,run_004,meal_bolus_strategy,completed,medium,True
smoke_repair,run_004,meal_ecarbs_absorption,partial,low,True
smoke_repair,run_004,synthesis_plan,partial,low,True
smoke_repair,run_005,data_quality,partial,low,True
smoke_repair,run_005,safety_overview,completed,low,True
smoke_repair,run_005,basal_targets,completed,low,True
smoke_repair,run_005,profile_cr_isf_dia,completed,low,True
smoke_repair,run_005,automation_smb_uam,completed,medium,True
smoke_repair,run_005,automation_sensitivity_limits,partial,low,True
smoke_repair,run_005,meal_bolus_strategy,completed,low,True
smoke_repair,run_005,meal_ecarbs_absorption,completed,medium,True
smoke_repair,run_005,synthesis_plan,partial,low,True
smoke_repair,run_006,data_quality,partial,medium,True
smoke_repair,run_006,safety_overview,partial,high,True
smoke_repair,run_006,basal_targets,completed,low,True
smoke_repair,run_006,profile_cr_isf_dia,partial,low,True
smoke_repair,run_006,automation_smb_uam,completed,high,True
smoke_repair,run_006,automation_sensitivity_limits,completed,high,True
smoke_repair,run_006,meal_bolus_strategy,partial,medium,True
smoke_repair,run_006,meal_ecarbs_absorption,completed,high,True
smoke_repair,run_006,synthesis_plan,completed,high,True
smoke_repair,run_007,data_quality,completed,low,True
smoke_repair,run_007,safety_overview,completed,high,True
smoke_repair,run_007,basal_targets,completed,medium,True
smoke_repair,run_007,profile_cr_isf_dia,partial,low,True
smoke_repair,run_007,automation_smb_uam,completed,high,True
smoke_repair,run_007,automation_sensitivity_limits,partial,high,True
smoke_repair,run_007,meal_bolus_strategy,completed,low,True
smoke_repair,run_007,meal_ecarbs_absorption,completed,medium,True
smoke_repair,run_007,synthesis_plan,completed,high,True
smoke_repair,run_008,data_quality,completed,high,True
smoke_repair,run_008,safety_overview,partial,high,True
smoke_repair,run_008,basal_targets,partial,medium,True
smoke_repair,run_008,profile_cr_isf_dia,partial,high,True
smoke_repair,run_008,automation_smb_uam,completed,high,True
smoke_repair,run_008,automation_sensitivity_limits,partial,low,True
smoke_repair,run_008,meal_bolus_strategy,completed,medium,True
smoke_repair,run_008,meal_ecarbs_absorption,partial,low,True
smoke_repair,run_008,synthesis_plan,completed,medium,True
